filepath,file_size,num_sections,export_count,avg_entropy
C:\Windows\System32\07409496-a423-4a3e-b620-2cfb01a9318d_HyperV-ComputeNetwork.dll,26032,4,0,0.601333292
C:\Windows\System32\0ae3b998-9a38-4b72-a4c4-06849441518d_Servicing-Stack.dll,26032,4,0,0.619624295
C:\Windows\System32\3bc29097-7317-41d3-93b9-38a48f99d48a_mssrch.dll,26032,4,0,0.563637403
C:\Windows\System32\4545ffe2-0dc4-4df4-9d02-299ef204635e_hvsocket.dll,26016,4,0,0.562292809
C:\Windows\System32\69fe178f-26e7-43a9-aa7d-2b616b672dde_eventlogservice.dll,26056,4,0,0.577724001
C:\Windows\System32\6bea57fb-8dfb-4177-9ae8-42e8b3529933_RuntimeDeviceInstall.dll,26056,4,0,0.614852999
C:\Windows\System32\aadauthhelper.dll,446464,8,10,2.427500558
C:\Windows\System32\aadcloudap.dll,1019904,8,3,3.227813058
C:\Windows\System32\aadjcsp.dll,98304,7,1,2.557501715
C:\Windows\System32\aadtb.dll,1495552,8,7,4.254734346
C:\Windows\System32\aadWamExtension.dll,234952,8,3,2.754578346
C:\Windows\System32\AarSvc.dll,569344,7,4,3.75642137
C:\Windows\System32\AboutSettingsHandlers.dll,796088,8,1,3.278995038
C:\Windows\System32\AboveLockAppHost.dll,409600,8,3,2.82131679
C:\Windows\System32\accessibilitycpl.dll,307200,8,6,2.969572897
C:\Windows\System32\accountaccessor.dll,303104,8,17,3.052534402
C:\Windows\System32\AccountHealth.dll,258048,7,3,2.903942061
C:\Windows\System32\AccountsRt.dll,376832,8,3,3.224482341
C:\Windows\System32\AcGenral.dll,489064,8,2,2.950191268
C:\Windows\System32\AcLayers.dll,405504,8,2,2.777705333
C:\Windows\System32\acledit.dll,32768,7,8,1.596352886
C:\Windows\System32\aclui.dll,573440,8,8,3.704528683
C:\Windows\System32\acmigration.dll,656824,7,9,3.446831831
C:\Windows\System32\ACPBackgroundManagerPolicy.dll,262144,8,2,2.730646037
C:\Windows\System32\acppage.dll,155648,8,3,2.496572129
C:\Windows\System32\acproxy.dll,40960,7,1,1.191298143
C:\Windows\System32\AcSpecfc.dll,139264,7,2,2.383791512
C:\Windows\System32\ActionCenter.dll,335872,8,2,3.273977209
C:\Windows\System32\ActionCenterCPL.dll,159744,8,4,2.838676579
C:\Windows\System32\ActionQueue.dll,267696,7,2,3.244927075
C:\Windows\System32\ActivationClient.dll,188416,8,3,2.611191617
C:\Windows\System32\ActivationManager.dll,929792,8,14,3.549321436
C:\Windows\System32\activeds.dll,303104,8,29,2.605103923
C:\Windows\System32\ActiveSyncCsp.dll,102400,7,2,2.883280157
C:\Windows\System32\ActiveSyncProvider.dll,1810432,8,37,3.384363224
C:\Windows\System32\actxprxy.dll,520192,8,5,1.993524181
C:\Windows\System32\AcWinRT.dll,90112,7,2,2.64572735
C:\Windows\System32\AcXtrnal.dll,40960,7,2,1.48592413
C:\Windows\System32\AdaptiveCards.dll,69632,7,3,2.304992675
C:\Windows\System32\AddressParser.dll,94208,7,18,2.090075131
C:\Windows\System32\adhapi.dll,49152,7,7,1.620920273
C:\Windows\System32\adhsvc.dll,106496,8,3,2.149299462
C:\Windows\System32\AdobePDF.dll,203936,7,2,4.266840331
C:\Windows\System32\AdobePDFUI.dll,146592,7,1,4.178396138
C:\Windows\System32\adprovider.dll,110592,7,4,2.786271234
C:\Windows\System32\adsldp.dll,315392,8,2,2.615126141
C:\Windows\System32\adsldpc.dll,282624,8,175,2.289555198
C:\Windows\System32\adsmsext.dll,131072,8,2,2.394421131
C:\Windows\System32\adsnt.dll,421888,8,2,3.049846747
C:\Windows\System32\adtschema.dll,929792,2,0,2.083381968
C:\Windows\System32\AdvancedEmojiDS.dll,204800,8,3,2.039204535
C:\Windows\System32\advapi32.dll,737000,8,849,3.168444479
C:\Windows\System32\advapi32res.dll,12288,2,0,0.845260374
C:\Windows\System32\advpack.dll,180224,7,84,2.505929722
C:\Windows\System32\aeevts.dll,40960,2,0,1.922842836
C:\Windows\System32\aeinv.dll,1201568,8,13,3.20788806
C:\Windows\System32\aeinvext.dll,140728,7,1,2.710531639
C:\Windows\System32\aemarebackup.dll,898480,7,1,3.524730698
C:\Windows\System32\aepic.dll,646072,8,22,3.077637304
C:\Windows\System32\agentactivationruntime.dll,1007616,7,4,4.124308861
C:\Windows\System32\agentactivationruntimewindows.dll,1175552,8,1,3.483465954
C:\Windows\System32\amsi.dll,114688,8,14,2.713682882
C:\Windows\System32\amsiproxy.dll,36864,7,4,1.361725668
C:\Windows\System32\amstream.dll,118784,7,4,3.278831591
C:\Windows\System32\apds.dll,262144,8,4,3.244855538
C:\Windows\System32\APHostClient.dll,102400,8,2,2.035417472
C:\Windows\System32\APHostRes.dll,24576,2,0,1.856090988
C:\Windows\System32\APHostService.dll,360448,8,2,2.881960058
C:\Windows\System32\apisampling.dll,360448,8,3,2.867407902
C:\Windows\System32\ApiSetHost.AppExecutionAlias.dll,200704,8,24,2.314328015
C:\Windows\System32\apisetschema.dll,153008,4,0,1.287395882
C:\Windows\System32\APMon.dll,1748992,8,11,3.878747743
C:\Windows\System32\APMonUI.dll,81920,7,2,2.294656355
C:\Windows\System32\AppContracts.dll,951864,8,3,3.090247419
C:\Windows\System32\AppExtension.dll,299008,8,3,2.84365749
C:\Windows\System32\appfootprint.dll,995328,6,2,4.146184134
C:\Windows\System32\apphelp.dll,650232,8,244,3.359325436
C:\Windows\System32\Apphlpdm.dll,57344,7,3,2.205720744
C:\Windows\System32\appidapi.dll,100656,8,11,1.813858669
C:\Windows\System32\appidsvc.dll,118784,8,2,2.198006882
C:\Windows\System32\appinfo.dll,389120,8,4,2.814803531
C:\Windows\System32\appinfoext.dll,40960,7,2,1.164304058
C:\Windows\System32\AppInstallerPrompt.Desktop.dll,77824,7,3,2.245456103
C:\Windows\System32\ApplicationControlCSP.dll,131072,7,2,2.976515941
C:\Windows\System32\ApplicationFrame.dll,765952,8,3,3.813885255
C:\Windows\System32\ApplicationTargetedFeatureDatabase.dll,372736,7,2,3.284562395
C:\Windows\System32\AppListBackupLauncher.dll,118784,7,4,2.777081086
C:\Windows\System32\AppLockerCSP.dll,368640,8,2,3.103584275
C:\Windows\System32\AppMon.dll,126976,8,2,2.132718463
C:\Windows\System32\AppointmentActivation.dll,176128,8,26,2.45606808
C:\Windows\System32\AppointmentApis.dll,806912,8,5,3.240153601
C:\Windows\System32\appraiser.dll,2663880,8,13,3.573893404
C:\Windows\System32\AppReadiness.dll,798720,8,2,3.93763055
C:\Windows\System32\apprepapi.dll,40960,7,10,1.190130073
C:\Windows\System32\AppResolver.dll,724592,8,4,3.871784622
C:\Windows\System32\appsruprov.dll,221184,7,8,2.808757154
C:\Windows\System32\AppxAllUserStore.dll,447944,8,102,2.391325795
C:\Windows\System32\AppXApplicabilityBlob.dll,253952,7,7,3.059332127
C:\Windows\System32\AppxApplicabilityEngine.dll,275896,8,11,2.902050387
C:\Windows\System32\AppXDeploymentClient.dll,1472496,8,108,3.883699028
C:\Windows\System32\AppXDeploymentExtensions.desktop.dll,2715648,10,6,3.582754787
C:\Windows\System32\AppXDeploymentExtensions.onecore.dll,3420160,8,3,4.035593926
C:\Windows\System32\AppXDeploymentServer.dll,5910528,8,40,4.436231726
C:\Windows\System32\AppxPackaging.dll,2475448,8,6,3.845869693
C:\Windows\System32\AppxSip.dll,405504,8,39,3.124748418
C:\Windows\System32\AppxStreamingDataSourcePS.dll,45056,7,2,1.52043778
C:\Windows\System32\AppxSysprep.dll,229376,8,4,2.368717919
C:\Windows\System32\Apx01000.dll,225280,7,103,2.696230329
C:\Windows\System32\ApxSvc.dll,73728,7,1,2.144429192
C:\Windows\System32\archiveint.dll,1409024,7,432,3.692963076
C:\Windows\System32\asferror.dll,12288,2,0,0.828119971
C:\Windows\System32\aspnet_counters.dll,27032,6,9,2.960604488
C:\Windows\System32\AssignedAccessRuntime.dll,90112,8,3,2.06110497
C:\Windows\System32\asycfilt.dll,110592,7,2,2.548006026
C:\Windows\System32\atl.dll,122880,8,54,2.623659635
C:\Windows\System32\atl110.dll,192584,6,52,4.480620848
C:\Windows\System32\atlthunk.dll,53248,6,4,2.595851065
C:\Windows\System32\atmlib.dll,77824,7,76,2.063205433
C:\Windows\System32\AudioEndpointBuilder.dll,622592,10,2,2.497123895
C:\Windows\System32\AudioEng.dll,2009656,12,6,3.727389921
C:\Windows\System32\AudioHandlers.dll,757760,8,2,3.13038765
C:\Windows\System32\AUDIOKSE.dll,484912,12,4,2.798163655
C:\Windows\System32\audioresourceregistrar.dll,106496,8,2,2.098910623
C:\Windows\System32\AudioSes.dll,1840248,11,12,2.917723109
C:\Windows\System32\audiosrv.dll,1982464,10,2,3.602265758
C:\Windows\System32\AudioSrvPolicyManager.dll,456024,8,27,3.31585773
C:\Windows\System32\auditcse.dll,192512,8,4,2.752399947
C:\Windows\System32\auditpolcore.dll,102400,7,29,2.481761577
C:\Windows\System32\AuthBroker.dll,225280,8,11,2.802576319
C:\Windows\System32\AuthBrokerUI.dll,155648,8,9,2.805093083
C:\Windows\System32\AuthExt.dll,98304,8,2,2.471714214
C:\Windows\System32\authfwcfg.dll,368640,8,2,2.597001145
C:\Windows\System32\AuthFWGP.dll,53248,7,4,2.157157633
C:\Windows\System32\AuthFWSnapin.dll,5298688,3,0,3.112221547
C:\Windows\System32\AuthFWWizFwk.dll,113152,3,0,2.776286982
C:\Windows\System32\AuthHostProxy.dll,40960,7,4,1.502343351
C:\Windows\System32\authui.dll,266240,8,3,3.284206071
C:\Windows\System32\authz.dll,327680,8,68,2.649587521
C:\Windows\System32\AutomaticAppSignInPolicy.dll,70656,7,2,3.513595839
C:\Windows\System32\autopilot.dll,221184,8,9,2.335968478
C:\Windows\System32\autopilotdiag.dll,61440,7,0,1.9218841
C:\Windows\System32\autoplay.dll,200704,8,2,3.143014191
C:\Windows\System32\autotimesvc.dll,139264,8,3,2.138125585
C:\Windows\System32\avicap32.dll,110592,7,6,2.212058895
C:\Windows\System32\avifil32.dll,143360,7,76,2.671650112
C:\Windows\System32\avrt.dll,55184,6,20,2.026763891
C:\Windows\System32\AxInstSv.dll,172032,8,2,2.41008792
C:\Windows\System32\azroles.dll,647168,8,44,3.476144533
C:\Windows\System32\azroleui.dll,430080,7,4,3.682746743
C:\Windows\System32\AzSqlExt.dll,57344,7,6,1.845705724
C:\Windows\System32\BackgroundMediaPolicy.dll,94208,7,2,2.592637336
C:\Windows\System32\BamSettingsClient.dll,40960,7,5,1.473811207
C:\Windows\System32\BarcodeProvisioningPlugin.dll,118784,8,3,2.338510733
C:\Windows\System32\basecsp.dll,259528,8,28,3.162561361
C:\Windows\System32\basesrv.dll,94208,7,6,2.158013781
C:\Windows\System32\batmeter.dll,126976,8,29,2.217955701
C:\Windows\System32\bcastdvr.proxy.dll,217088,7,4,2.149997785
C:\Windows\System32\BcastDVRBroker.dll,126976,7,3,3.051000303
C:\Windows\System32\BcastDVRClient.dll,483328,7,3,3.88513756
C:\Windows\System32\BcastDVRCommon.dll,278528,8,88,2.600745406
C:\Windows\System32\bcastdvruserservice.dll,1421312,8,1,3.535558288
C:\Windows\System32\bcd.dll,166784,7,75,2.241147352
C:\Windows\System32\bcdprov.dll,94208,7,3,2.180632318
C:\Windows\System32\bcdsrv.dll,106496,7,3,2.678962087
C:\Windows\System32\BCP47Langs.dll,394032,8,71,3.023377477
C:\Windows\System32\BCP47mrm.dll,224592,8,17,2.829894755
C:\Windows\System32\bcrypt.dll,166784,8,58,2.451791787
C:\Windows\System32\bcryptprimitives.dll,641952,7,10,3.125649517
C:\Windows\System32\BdeHdCfgLib.dll,131072,7,114,2.648728809
C:\Windows\System32\bderepair.dll,81920,7,15,2.038570495
C:\Windows\System32\bdesvc.dll,606208,8,2,3.23103856
C:\Windows\System32\bdeui.dll,61440,7,128,1.872976501
C:\Windows\System32\BFE.DLL,1085440,8,4,3.334412972
C:\Windows\System32\bi.dll,53248,7,35,1.880352842
C:\Windows\System32\bidispl.dll,143360,7,4,3.043991455
C:\Windows\System32\bindfltapi.dll,229376,7,13,3.122743231
C:\Windows\System32\BingASDS.dll,430080,8,2,3.003038171
C:\Windows\System32\BingFilterDS.dll,102400,7,2,2.616882405
C:\Windows\System32\BingMaps.dll,8118272,7,1,4.144832379
C:\Windows\System32\BingOnlineServices.dll,688128,7,377,3.859940602
C:\Windows\System32\BioCredProv.dll,434176,8,2,3.248995904
C:\Windows\System32\bisrv.dll,966656,8,11,3.253101865
C:\Windows\System32\BitLockerCsp.dll,385024,8,2,3.038504694
C:\Windows\System32\bitsigd.dll,110592,8,2,2.109853588
C:\Windows\System32\bitsperf.dll,53248,7,32,2.037908226
C:\Windows\System32\BitsProxy.dll,90112,8,4,2.250534998
C:\Windows\System32\biwinrt.dll,373360,8,11,2.785019706
C:\Windows\System32\BlbEvents.dll,86016,2,0,2.026036477
C:\Windows\System32\blbres.dll,12288,2,0,0.861156162
C:\Windows\System32\blb_ps.dll,90112,7,5,2.0344084
C:\Windows\System32\BluetoothApis.dll,237568,9,98,2.827779625
C:\Windows\System32\BluetoothDesktopHandlers.dll,151552,8,1,2.270159363
C:\Windows\System32\BluetoothOppPushClient.dll,131072,6,2,2.78421272
C:\Windows\System32\bnmanager.dll,110592,7,2,2.583190484
C:\Windows\System32\BootCriticalUpdatePlugin.dll,185800,7,5,2.653514679
C:\Windows\System32\BootMenuUX.dll,241664,8,87,2.416673039
C:\Windows\System32\bootstr.dll,21824,2,0,1.126713769
C:\Windows\System32\bootsvc.dll,307264,7,20,2.223269024
C:\Windows\System32\bootux.dll,4960256,8,12,2.812167972
C:\Windows\System32\BOOTVID.DLL,62784,9,12,1.217471579
C:\Windows\System32\bridgeres.dll,12288,2,0,0.836514022
C:\Windows\System32\BrokerFileDialog.dll,139264,7,3,3.006107209
C:\Windows\System32\BrokerLib.dll,217088,8,37,2.727045585
C:\Windows\System32\browcli.dll,90112,8,12,1.8970206
C:\Windows\System32\browserbroker.dll,304560,8,1,2.815136414
C:\Windows\System32\browseui.dll,40960,7,27,1.402508061
C:\Windows\System32\BTAGService.dll,1126400,9,2,3.93138447
C:\Windows\System32\BthAvctpSvc.dll,536576,8,4,4.102903621
C:\Windows\System32\BthAvrcp.dll,417792,8,2,3.239923685
C:\Windows\System32\BthAvrcpAppSvc.dll,86016,7,2,2.255088941
C:\Windows\System32\bthci.dll,122880,7,2,2.578982277
C:\Windows\System32\BthMtpContextHandler.dll,57344,7,4,2.046904666
C:\Windows\System32\bthpanapi.dll,122880,7,17,2.652959937
C:\Windows\System32\BthpanContextHandler.dll,217088,7,4,3.070407303
C:\Windows\System32\BthRadioMedia.dll,172032,8,4,2.379051349
C:\Windows\System32\bthserv.dll,307200,9,1,2.903240667
C:\Windows\System32\BthTelemetry.dll,200704,9,7,2.499701542
C:\Windows\System32\btpanui.dll,159744,7,4,2.611135652
